cp,cs,T,state,image
25,1,20,clear,sample1-T20.jpg
25,1,30,clear,sample1-T30.jpg
25,1,40,clear,sample1-T40.jpg
25,1,45,clear,sample1-T45_extrapolated.jpg
25,1,50,clear,sample1-T50.jpg
25,3,7,clear,sample2-T7.jpg
25,3,20,turbid,sample2-T20.jpg
25,3,25,turbid,sample2-T25_extrapolated.jpg
25,3,30,turbid,sample2-T30_extrapolated.jpg
25,3,35,turbid,sample2-T35_extrapolated.jpg
25,3,40,turbid,sample2-T40_extrapolated.jpg
25,3,45,turbid,sample2-T45_extrapolated.jpg
25,3,50,turbid,sample2-T50_extrapolated.jpg
25,6,7,clear,sample3-T7.jpg
25,6,20,turbid,sample3-T20.jpg
25,6,25,turbid,sample3-T25_extrapolated.jpg
25,6,30,turbid,sample3-T30_extrapolated.jpg
25,6,35,turbid,sample3-T35_extrapolated.jpg
25,6,40,turbid,sample3-T40_extrapolated.jpg
25,6,45,turbid,sample3-T45_extrapolated.jpg
25,6,50,turbid,sample3-T50_extrapolated.jpg
25,9,7,clear,sample4-T7.jpg
25,9,20,clear,sample4-T20.jpg
25,9,25,turbid,sample4-T25.jpg
25,9,30,turbid,sample4-T30.jpg
25,9,35,turbid,sample4-T35.jpg
25,9,40,turbid,sample4-T40.jpg
25,9,45,turbid,sample4-T45_extrapolated.jpg
25,9,50,turbid,sample4-T50_extrapolated.jpg
50,1,20,clear,sample5-T20.jpg
50,1,25,clear,sample5-T25.jpg
50,1,30,clear,sample5-T30.jpg
50,1,35,clear,sample5-T35.jpg
50,1,40,clear,sample5-T40.jpg
50,1,45,clear,sample5-T45.jpg
50,1,50,clear,sample5-T50.jpg
50,3,7,clear,sample6-T7.jpg
50,3,20,clear,sample6-T20.jpg
50,3,25,clear,sample6-T25.jpg
50,3,30,clear,sample6-T30.jpg
50,3,35,turbid,sample6-T35.jpg
50,3,40,turbid,sample6-T40.jpg
50,3,45,turbid,sample6-T45.jpg
50,3,50,turbid,sample6-T50_extrapolated.jpg
50,6,20,turbid,sample7-T20_extrapolated.jpg
50,6,25,turbid,sample7-T25_extrapolated.jpg
50,6,30,turbid,sample7-T30_extrapolated.jpg
50,6,35,turbid,sample7-T35_extrapolated.jpg
50,6,40,turbid,sample7-T40_extrapolated.jpg
50,6,45,turbid,sample7-T45_extrapolated.jpg
50,6,50,turbid,sample7-T50_extrapolated.jpg
50,9,7,clear,sample8-T7.jpg
50,9,20,turbid,sample8-T20.jpg
50,9,25,turbid,sample8-T25.jpg
50,9,30,turbid,sample8-T30_extrapolated.jpg
50,9,35,turbid,sample8-T35_extrapolated.jpg
50,9,40,turbid,sample8-T40_extrapolated.jpg
50,9,45,turbid,sample8-T45_extrapolated.jpg
50,9,50,turbid,sample8-T50_extrapolated.jpg
100,3,20,clear,sample10-T20.jpg
100,3,25,clear,sample10-T25.jpg
100,3,30,clear,sample10-T30.jpg
100,3,35,clear,sample10-T35.jpg
100,3,40,clear,sample10-T40.jpg
100,3,45,clear,sample10-T45.jpg
100,3,50,clear,sample10-T50.jpg
100,6,7,clear,sample11-T7.jpg
100,6,20,clear,sample11-T20.jpg
100,6,25,clear,sample11-T25.jpg
100,6,30,clear,sample11-T30.jpg
100,6,35,clear,sample11-T35.jpg
100,6,40,clear,sample11-T40.jpg
100,6,45,turbid,sample11-T45.jpg
100,6,50,turbid,sample11-T50_extrapolated.jpg
100,9,7,clear,sample12-T7.jpg
100,9,20,turbid,sample12-T20.jpg
100,9,25,turbid,sample12-T25_extrapolated.jpg
100,9,30,turbid,sample12-T30_extrapolated.jpg
100,9,35,turbid,sample12-T35_extrapolated.jpg
100,9,40,turbid,sample12-T40_extrapolated.jpg
100,9,45,turbid,sample12-T45_extrapolated.jpg
100,9,50,turbid,sample12-T50_extrapolated.jpg
150,3,20,clear,sample14-T20.jpg
150,3,25,clear,sample14-T25.jpg
150,3,30,clear,sample14-T30.jpg
150,3,35,clear,sample14-T35.jpg
150,3,40,clear,sample14-T40.jpg
150,3,45,clear,sample14-T45.jpg
150,3,50,clear,sample14-T50.jpg
150,6,7,clear,sample15-T7.jpg
150,6,20,clear,sample15-T20.jpg
150,6,25,clear,sample15-T25.jpg
150,6,30,clear,sample15-T30.jpg
150,6,35,clear,sample15-T35.jpg
150,6,40,clear,sample15-T40.jpg
150,6,45,clear,sample15-T45.jpg
150,6,50,clear,sample15-T50.jpg
150,9,20,clear,sample16-T20.jpg
150,9,25,clear,sample16-T25.jpg
150,9,30,clear,sample16-T30.jpg
150,9,35,clear,sample16-T35.jpg
150,9,40,clear,sample16-T40.jpg
150,9,45,turbid,sample16-T45.jpg
150,9,50,turbid,sample16-T50.jpg
175,3,7,clear,sample18-T7.jpg
175,3,20,clear,sample18-T20.jpg
175,3,25,clear,sample18-T25.jpg
175,3,30,clear,sample18-T30.jpg
175,3,35,clear,sample18-T35.jpg
175,3,40,clear,sample18-T40.jpg
175,3,45,clear,sample18-T45.jpg
175,3,50,clear,sample18-T50.jpg
175,6,7,clear,sample19-T7.jpg
175,6,20,clear,sample19-T20.jpg
175,6,25,clear,sample19-T25.jpg
175,6,30,clear,sample19-T30.jpg
175,6,35,clear,sample19-T35.jpg
175,6,40,clear,sample19-T40.jpg
175,6,45,clear,sample19-T45.jpg
175,6,50,clear,sample19-T50.jpg
175,9,7,clear,sample20-T7.jpg
175,9,20,clear,sample20-T20.jpg
175,9,25,clear,sample20-T25.jpg
175,9,30,clear,sample20-T30.jpg
175,9,40,clear,sample20-T40.jpg
175,9,45,clear,sample20-T45.jpg
175,9,50,clear,sample20-T50.jpg
